"p_val" "avg_log2FC" "pct.1" "pct.2" "p_val_adj" "fdr"
"ANLN" 3.15147771365339e-07 0.91872631749128 0.895 0.483 0.0126806008764271 0.000608749935634155
"TUBB6" 5.66542518040163e-07 1.74241043640439 0.552 0.103 0.022795971298382 0.000608749935634155
"AXL" 4.78578815295786e-06 0.795613210229289 0.867 0.517 0.192565757910565 0.00342821958023548
"IFT122" 1.53282299515465e-05 1.23319817157987 0.648 0.207 0.616761988560376 0.00580183087222426
"GFM1" 1.60809803483944e-05 1.26168160544737 0.6 0.207 0.647050406278347 0.00580183087222426
"SEPT2" 1.61986901969965e-05 0.512789758114394 0.971 0.724 0.65178669745655 0.00580183087222426
"PBRM1" 2.23522809836004e-05 0.989005181413538 0.752 0.345 0.899388729937131 0.00686215026196533
"INSIG1" 4.85463081292969e-05 1.0859197809917 0.686 0.379 1 0.0130407520212324
"ANXA2" 6.117423967207e-05 0.177833360578737 1 0.931 1 0.0131251835985654
"CAPG" 6.3870425652058e-05 0.654379513115773 0.895 0.552 1 0.0131251835985654
"POP7" 7.81765214859904e-05 1.39244890501935 0.505 0.103 1 0.0131251835985654
"BHLHE40" 8.23127124638123e-05 0.978734474579187 0.724 0.379 1 0.0131251835985654
"MCM5" 9.20665893027824e-05 0.543558309398605 0.924 0.655 1 0.0131251835985654
"TRAPPC3" 9.51012747021989e-05 0.693566124319397 0.857 0.483 1 0.0131251835985654
"MRPS6" 9.66935344439957e-05 1.27762398883703 0.533 0.138 1 0.0131251835985654
"ANXA2P2" 0.000103827640507417 0.2178832469397 1 0.931 1 0.0131251835985654
"GINS2" 0.000110215377871602 0.96792973554728 0.695 0.276 1 0.0131251835985654
"NARS" 0.000119322156360936 0.772852442125136 0.819 0.414 1 0.0131251835985654
"LSM5" 0.000120072718566076 1.01220280187854 0.629 0.241 1 0.0131251835985654
"GUSB" 0.000126252151944474 1.14665785098667 0.6 0.207 1 0.0131251835985654
"EZR" 0.000132704566875465 0.562511753447684 0.933 0.655 1 0.0131251835985654
"TAGLN2" 0.000134366700404113 0.113506705517036 1 1 1 0.0131251835985654
"FZD6" 0.00015664145452195 0.890143659618643 0.762 0.31 1 0.0146357602507683
"STAT2" 0.000169561632553482 1.08748780946811 0.6 0.276 1 0.0151828311815597
"TMPO" 0.000193917245548507 0.908506756243779 0.686 0.31 1 0.0162568937651812
"SLC35F5" 0.000202187665028749 0.888661742714659 0.686 0.31 1 0.0162568937651812
"MVB12A" 0.000204251340930616 0.947525037760706 0.657 0.276 1 0.0162568937651812
"FBLN1" 0.000260220197391972 0.386782770132954 0.981 0.759 1 0.0199719001498338
"CDC42EP3" 0.000297921649720909 0.374066125760631 0.981 0.828 1 0.0214569213230852
"COG4" 0.000309845421197058 1.12617919890802 0.562 0.207 1 0.0214569213230852
"MRPL20" 0.000311069610086442 0.913571561133175 0.667 0.31 1 0.0214569213230852
"GSDMD" 0.000319507437105037 1.10439272721492 0.552 0.241 1 0.0214569213230852
"VCL" 0.000391789123936173 0.599159188137574 0.876 0.586 1 0.0248487524530438
"MT1E" 0.000393139871290596 0.478783531433321 0.914 0.655 1 0.0248487524530438
"MT2A" 0.000473476690928944 0.253925628770717 0.99 0.862 1 0.0284415247372474
"TUBA1C" 0.000485032628197415 0.805341574595557 0.714 0.379 1 0.0284415247372474
"TXN" 0.000489686558994023 0.327730080630221 0.962 0.793 1 0.0284415247372474
"ATXN10" 0.000507414460198981 0.567274925414601 0.867 0.621 1 0.0286956230254634
"USP39" 0.000540995870463781 1.05473472030589 0.571 0.207 1 0.029289861573708
"MSH6" 0.000545181229850311 0.746986255856503 0.857 0.552 1 0.029289861573708
"SDC2" 0.000566137910296156 0.690380234114843 0.771 0.483 1 0.0296739114445473
"OAT" 0.000583921770024397 0.388014496080262 0.952 0.724 1 0.0298773305662483
"SCAP" 0.000632404742820901 0.94185051980256 0.629 0.345 1 0.0307026107082024
"PRELID3B" 0.000635185024383644 0.501125305366105 0.876 0.586 1 0.0307026107082024
"KNTC1" 0.000655866542029048 0.726500952978162 0.743 0.379 1 0.0307026107082024
"WWTR1" 0.000660075537873519 0.445547367466203 0.943 0.69 1 0.0307026107082024
"TUBA1B" 0.0006714856692813 0.272401528585284 0.981 0.897 1 0.0307026107082024
"ARF6" 0.00073132386762715 0.798811914332232 0.714 0.379 1 0.0323054241768663
"SMC5" 0.000736605762990436 0.682246807627945 0.781 0.483 1 0.0323054241768663
"DCTN2" 0.000807716686319457 0.763211885486389 0.724 0.414 1 0.0337123665496991
"AAMP" 0.000832684138746204 0.556155474494215 0.857 0.655 1 0.0337123665496991
"CSNK1A1" 0.000852192233703002 0.423449034334678 0.914 0.759 1 0.0337123665496991
"TBCB" 0.000855430997024626 0.49689491031373 0.905 0.621 1 0.0337123665496991
"KLF10" 0.000866627592460375 1.00235837883684 0.562 0.241 1 0.0337123665496991
"TPP1" 0.000869994040749974 0.723349060718479 0.781 0.345 1 0.0337123665496991
"TUBA1A" 0.000879299026346064 0.236098699585316 1 0.966 1 0.0337123665496991
"EIF5A" 0.000894185618116729 0.490835119366066 0.933 0.655 1 0.0337123665496991
"IFT52" 0.000996421279761996 1.00694724290174 0.562 0.207 1 0.0365839674584424
"ETS2" 0.00100439929271666 0.930166266214591 0.61 0.276 1 0.0365839674584424
"EWSR1" 0.00106271122820482 0.477381601644449 0.905 0.759 1 0.037508565268444
"RP11-466H18.1" 0.00107978310787126 -0.154962695559024 0.962 1 1 0.037508565268444
"NOP10" 0.00108722960864806 0.909343410728713 0.6 0.241 1 0.037508565268444
"KRCC1" 0.00110620396342746 1.006338027796 0.562 0.172 1 0.037508565268444
"ASL" 0.00111705359570983 0.908519534489984 0.61 0.241 1 0.037508565268444
"IGSF9" 0.00113973191302568 0.791952050915854 0.695 0.345 1 0.0376812904783413
"UQCRC1" 0.00116523285470294 0.308797427900942 0.971 0.862 1 0.0377665336143002
