gene,p_val,avg_log2FC,pct.1,pct.2,p_val_adj,description
UBB,2.19599041681794e-65,-2.17589729124641,0.015,0.917,8.83600664015034e-61,ubiquitin B [Source:HGNC Symbol;Acc:HGNC:12463]
LGALS3BP,2.36645927443263e-65,-3.05589121554434,0.022,0.909,9.52192218253457e-61,galectin 3 binding protein [Source:HGNC Symbol;Acc:HGNC:6564]
SLC25A6,2.18543475200664e-53,-0.338953649570256,0.933,0.996,8.7935338116491e-49,solute carrier family 25 member 6 [Source:HGNC Symbol;Acc:HGNC:10992]
RP11-568F20.1,2.75151848746178e-50,-1.52445593213544,0.284,0.888,1.10712849379999e-45,
CTD-2287O16.1,1.03096807372009e-48,-0.351870992365882,0.97,0.996,4.14830623822754e-44,
FAM178B,2.19586401143394e-44,-2.40593769158413,0.022,0.734,8.83549802280676e-40,family with sequence similarity 178 member B [Source:HGNC Symbol;Acc:HGNC:28036]
RPL26P19,1.32509944655551e-41,-0.305338810863474,0.963,0.988,5.33180264310542e-37,ribosomal protein L26 pseudogene 19 [Source:HGNC Symbol;Acc:HGNC:36393]
RP11-314A20.1,3.89803290113859e-39,-0.611220622460075,0.761,0.951,1.56845149843113e-34,
PRAME,1.53439908637587e-37,-2.240167315884,0.06,0.701,6.17396160385059e-33,PRAME nuclear receptor transcriptional regulator [Source:HGNC Symbol;Acc:HGNC:9336]
ITM2A,3.77163552183783e-34,-2.63552650172749,0,0.616,1.51759298492189e-29,integral membrane protein 2A [Source:HGNC Symbol;Acc:HGNC:6173]
LPAR6,1.81211114651269e-33,-2.06026658943924,0.052,0.654,7.29139162022311e-29,lysophosphatidic acid receptor 6 [Source:HGNC Symbol;Acc:HGNC:15520]
CTD-2284O10.1,1.86455397628596e-33,-0.502359572531646,0.799,0.969,7.50240583438183e-29,
MEG3,1.88660371534327e-33,-1.98060503850709,0.007,0.612,7.5911273694267e-29,maternally expressed 3 [Source:HGNC Symbol;Acc:HGNC:14575]
AC105402.1,5.88778356029308e-33,-1.89265973242539,0.022,0.628,2.36906747115513e-28,
RPS18P12,6.25685934796563e-33,-0.398977761213807,0.866,0.979,2.51757249584093e-28,ribosomal protein S18 pseudogene 12 [Source:HGNC Symbol;Acc:HGNC:35967]
HLA-A,2.85342139784391e-32,-0.776964614706816,0.806,0.94,1.14813116785046e-27,"major histocompatibility complex, class I, A [Source:HGNC Symbol;Acc:HGNC:4931]"
KRT19,4.80075924472056e-32,-1.6740353340868,0.41,0.848,1.93168149729821e-27,keratin 19 [Source:HGNC Symbol;Acc:HGNC:6436]
AC016739.2,2.34599917960972e-29,-0.267398921839064,0.963,0.996,9.43959689899561e-25,
RP11-624G17.1,4.80449426154175e-29,-0.811049785650927,0.485,0.88,1.93318435601655e-24,
PEG3,4.01301409218591e-28,-1.9601688055045,0.007,0.547,1.61471648027284e-23,paternally expressed 3 [Source:HGNC Symbol;Acc:HGNC:8826]
