gene,p_val,avg_log2FC,pct.1,pct.2,p_val_adj,description
TNNT1,3.85308374336733e-155,2.49289060538424,0.731,0.01,1.55036530581871e-150,"troponin T1, slow skeletal type [Source:HGNC Symbol;Acc:HGNC:11948]"
RP11-352E6.2,4.50506371995294e-131,2.25071270342067,0.701,0.024,1.81270248899747e-126,
GPNMB,1.28370111228288e-108,2.35607778479636,0.866,0.099,5.16522816549261e-104,glycoprotein nmb [Source:HGNC Symbol;Acc:HGNC:4462]
CPNE7,1.49548896844008e-104,1.94987772707401,0.5,0.006,6.01739896231235e-100,copine 7 [Source:HGNC Symbol;Acc:HGNC:2320]
FXYD5,5.1118162517791e-98,1.91842328342175,0.985,0.224,2.05684150522836e-93,FXYD domain containing ion transport regulator 5 [Source:HGNC Symbol;Acc:HGNC:4029]
SYCP2,5.74595505050204e-92,2.02972731552917,0.903,0.176,2.3119999336705e-87,synaptonemal complex protein 2 [Source:HGNC Symbol;Acc:HGNC:11490]
GNG4,3.00482523230563e-91,1.7426930146652,0.47,0.01,1.20905152872281e-86,G protein subunit gamma 4 [Source:HGNC Symbol;Acc:HGNC:4407]
IGKV5-2,2.87233433519194e-90,2.04117840020627,0.403,0.001,1.15574116645118e-85,immunoglobulin kappa variable 5-2 [Source:HGNC Symbol;Acc:HGNC:5835]
CKMT1B,5.40580874532474e-89,1.63490658211309,0.597,0.037,2.17513526485631e-84,"creatine kinase, mitochondrial 1B [Source:HGNC Symbol;Acc:HGNC:1995]"
RELN,1.33146646883842e-75,1.63131523122619,0.567,0.047,5.35742163066515e-71,reelin [Source:HGNC Symbol;Acc:HGNC:9957]
IL23A,2.33680497172621e-72,2.18179276733781,0.552,0.051,9.40260216473476e-68,interleukin 23 subunit alpha [Source:HGNC Symbol;Acc:HGNC:15488]
SYNGR3,3.50038906368778e-72,1.63709671903646,0.343,0.003,1.40845154755605e-67,synaptogyrin 3 [Source:HGNC Symbol;Acc:HGNC:11501]
CDKN2A,2.37334122885298e-69,1.69736584504402,0.687,0.096,9.54961310253575e-65,cyclin dependent kinase inhibitor 2A [Source:HGNC Symbol;Acc:HGNC:1787]
SLC5A8,4.558645686168e-68,1.74801824212207,0.463,0.029,1.83426226474342e-63,solute carrier family 5 member 8 [Source:HGNC Symbol;Acc:HGNC:19119]
ANO9,1.79031575215771e-67,1.75359998476701,0.53,0.048,7.20369349195697e-63,anoctamin 9 [Source:HGNC Symbol;Acc:HGNC:20679]
GREM1,1.30709682557687e-65,1.5853061788307,0.545,0.055,5.25936549707367e-61,"gremlin 1, DAN family BMP antagonist [Source:HGNC Symbol;Acc:HGNC:2001]"
STAG3,2.40539537046569e-62,2.02967508876193,0.701,0.152,9.67858935214278e-58,STAG3 cohesin complex component [Source:HGNC Symbol;Acc:HGNC:11356]
SIM1,2.49089654434427e-62,1.16335998768702,0.291,0.002,1.0022620425478e-57,SIM bHLH transcription factor 1 [Source:HGNC Symbol;Acc:HGNC:10882]
DERL3,5.39110518590181e-62,1.49638985009708,0.522,0.054,2.16921899365131e-57,derlin 3 [Source:HGNC Symbol;Acc:HGNC:14236]
AARD,2.11266611391948e-61,1.63793660957231,0.784,0.181,8.50073464257782e-57,alanine and arginine rich domain containing protein [Source:HGNC Symbol;Acc:HGNC:33842]
MCM2,6.71230026901688e-60,1.74387751512909,0.806,0.206,2.70082825924432e-55,minichromosome maintenance complex component 2 [Source:HGNC Symbol;Acc:HGNC:6944]
CHI3L1,1.57513600656785e-59,1.90531630729374,0.694,0.132,6.33787474962706e-55,chitinase 3 like 1 [Source:HGNC Symbol;Acc:HGNC:1932]
LHX6,4.00679944866829e-58,1.75063001159368,0.575,0.083,1.61221589416066e-53,LIM homeobox 6 [Source:HGNC Symbol;Acc:HGNC:21735]
AHNAK2,6.24385155967442e-58,1.34072440342264,0.515,0.056,2.5123385520662e-53,AHNAK nucleoprotein 2 [Source:HGNC Symbol;Acc:HGNC:20125]
ODF3B,9.38220182813578e-58,1.70122735930507,0.657,0.109,3.77511654958699e-53,
MCM4,2.26687618247022e-57,1.6395430416539,0.828,0.239,9.12122969540543e-53,minichromosome maintenance complex component 4 [Source:HGNC Symbol;Acc:HGNC:6947]
EGF,1.20472255484464e-56,1.30318430261898,0.358,0.017,4.84744214392839e-52,epidermal growth factor [Source:HGNC Symbol;Acc:HGNC:3229]
KLHL35,1.62237132408399e-56,1.73473884335901,0.47,0.047,6.52793549671675e-52,kelch like family member 35 [Source:HGNC Symbol;Acc:HGNC:26597]
TAGLN2,2.93578285002178e-56,0.519518136293754,1,0.854,1.18127094536326e-51,transgelin 2 [Source:HGNC Symbol;Acc:HGNC:11554]
RP11-560I19.4,8.9207114472043e-56,1.3458035928402,0.254,0.001,3.58942666501159e-51,
GLYATL1P2,1.50839791798298e-55,1.52660713688958,0.328,0.012,6.06934070258814e-51,glycine-N-acyltransferase like 1 pseudogene 2 [Source:HGNC Symbol;Acc:HGNC:37863]
CDC45,2.80485252514091e-55,1.68457952260671,0.537,0.065,1.12858851054095e-50,cell division cycle 45 [Source:HGNC Symbol;Acc:HGNC:1739]
MCM5,6.84361822337103e-55,1.42079469657179,0.866,0.342,2.7536666645378e-50,minichromosome maintenance complex component 5 [Source:HGNC Symbol;Acc:HGNC:6948]
B4GALNT1,2.24680344013207e-52,1.26718472184145,0.306,0.011,9.04046300205939e-48,"beta-1,4-N-acetyl-galactosaminyltransferase 1 [Source:HGNC Symbol;Acc:HGNC:4117]"
PKMYT1,5.24111088680211e-52,1.57576872043919,0.53,0.067,2.10886578752257e-47,"protein kinase, membrane associated tyrosine/threonine 1 [Source:HGNC Symbol;Acc:HGNC:29650]"
EMP1,6.58336216085895e-52,1.41131080732367,0.888,0.346,2.64894743266482e-47,epithelial membrane protein 1 [Source:HGNC Symbol;Acc:HGNC:3333]
CENPK,1.18302209223965e-51,1.56034203536088,0.537,0.077,4.76012599254468e-47,centromere protein K [Source:HGNC Symbol;Acc:HGNC:29479]
STRIP2,1.58286815340525e-50,1.15357538330003,0.425,0.041,6.36898658885669e-46,striatin interacting protein 2 [Source:HGNC Symbol;Acc:HGNC:22209]
VTCN1,2.71985333027178e-50,0.987519650919337,0.978,0.548,1.09438738450145e-45,V-set domain containing T cell activation inhibitor 1 [Source:HGNC Symbol;Acc:HGNC:28873]
COBLL1,2.26835429995386e-49,1.36084582210239,0.5,0.067,9.12717719672435e-45,cordon-bleu WH2 repeat protein like 1 [Source:HGNC Symbol;Acc:HGNC:23571]
RP11-119K6.6,4.78028003984138e-49,1.44032910874874,0.537,0.085,1.92344127963097e-44,
DBNDD2,2.87572145810693e-48,1.36019632795492,0.799,0.261,1.15710404309849e-43,dysbindin domain containing 2 [Source:HGNC Symbol;Acc:HGNC:15881]
TACSTD2,5.90350924478028e-48,0.65297250705401,0.993,0.76,2.37539501482224e-43,tumor associated calcium signal transducer 2 [Source:HGNC Symbol;Acc:HGNC:11530]
STEAP3,6.40126097019952e-48,1.51109437909784,0.746,0.205,2.57567537657918e-43,STEAP3 metalloreductase [Source:HGNC Symbol;Acc:HGNC:24592]
RHEBL1,6.1672124517697e-47,1.43043333487039,0.276,0.01,2.48150127421857e-42,RHEB like 1 [Source:HGNC Symbol;Acc:HGNC:21166]
PLPP1,1.13568603038234e-46,1.58282782800826,0.716,0.197,4.56965988044943e-42,phospholipid phosphatase 1 [Source:HGNC Symbol;Acc:HGNC:9228]
CPM,1.74301036411204e-46,1.4830755230846,0.418,0.047,7.01335080207763e-42,carboxypeptidase M [Source:HGNC Symbol;Acc:HGNC:2311]
