"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","fdr"
"ANLN",2.50648953721858e-06,0.873488642440603,0.88,0.483,0.100853619509064,0.00928387134895204
"AK4",2.93550792128837e-06,1.33302225963641,0.554,0.138,0.11811603222888,0.00928387134895204
"TUBB6",3.35602049004171e-06,1.65575108743879,0.522,0.103,0.135036196457808,0.00928387134895204
"AXL",2.37395149756227e-05,0.761474152001601,0.848,0.517,0.955206864074131,0.0492535586956732
"PBRM1",3.54161228920223e-05,1.00148676218724,0.728,0.345,1,0.0570477955548191
"WASHC2C",5.04961322277467e-05,1.21218343735617,0.554,0.172,1,0.0570477955548191
"BCL9L",5.8463460024843e-05,0.626185507855088,0.348,0.034,1,0.0570477955548191
"SNN",5.97861788918118e-05,1.47654289703794,0.402,0.034,1,0.0570477955548191
"TBL2",6.21615277061092e-05,-1.32507479889243,0.109,0.414,1,0.0570477955548191
"CSNK1D",6.87405657968661e-05,1.30367700849625,0.435,0.103,1,0.0570477955548191
"IFT122",9.08169331526681e-05,1.15648223822902,0.609,0.207,1,0.063846623727611
"GFM1",9.23194944850383e-05,1.18620067283625,0.554,0.207,1,0.063846623727611
"PRR14",0.000100109691392257,0.99493866860959,0.652,0.241,1,0.0639084868357182
"OLFML2B",0.000123153883399339,1.51220967499274,0.261,0,1,0.0727361414315317
"ZNF600",0.000131466697369921,0.755366362726407,0.804,0.586,1,0.0727361414315317
"BHLHE40",0.000159912244724981,0.948322525854245,0.717,0.379,1,0.0829444824357886
"MCM5",0.000184008732493265,0.535246908325013,0.913,0.655,1,0.0830185429677456
"CDCA4",0.000198814628773712,1.38903179417496,0.402,0.069,1,0.0830185429677456
"GGT1",0.000222447815590301,-0.896036347226823,0.011,0.241,1,0.0830185429677456
"MRPS6",0.000225419498340405,1.24674055358943,0.511,0.138,1,0.0830185429677456
"BLM",0.000231613753909723,1.12619677522818,0.239,0,1,0.0830185429677456
"INSIG1",0.000238959338302928,1.01525854238733,0.652,0.379,1,0.0830185429677456
"CAPG",0.000248927236489266,0.622774689791229,0.88,0.552,1,0.0830185429677456
"DGAT1",0.000255972338737606,1.09988697948796,0.239,0,1,0.0830185429677456
"CDC20",0.000255972338774336,1.38556179345526,0.239,0,1,0.0830185429677456
"FAM174A",0.000260089422479984,1.41314199019557,0.239,0,1,0.0830185429677456
"GUSB",0.000287825781253691,1.10918155527189,0.576,0.207,1,0.0884691169860882
