"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","fdr"
"ANLN",2.50648953721858e-06,0.873488642440603,0.88,0.483,0.100853619509064,0.0118970926371978
"TUBB6",3.35602049004171e-06,1.65575108743879,0.522,0.103,0.135036196457808,0.0118970926371978
"AXL",2.37395149756227e-05,0.761474152001601,0.848,0.517,0.955206864074131,0.056104387059055
"SNN",5.97861788918118e-05,1.47654289703794,0.402,0.034,1,0.0710474941835545
"TBL2",6.21615277061092e-05,-1.32507479889243,0.109,0.414,1,0.0710474941835545
"CSNK1D",6.87405657968661e-05,1.30367700849625,0.435,0.103,1,0.0710474941835545
"SEPT2",7.01456219019579e-05,0.487788666641115,0.967,0.724,1,0.0710474941835545
"IFT122",9.08169331526681e-05,1.15648223822902,0.609,0.207,1,0.0727272462109912
"GFM1",9.23194944850383e-05,1.18620067283625,0.554,0.207,1,0.0727272462109912
"OLFML2B",0.000123153883399339,1.51220967499274,0.261,0,1,0.0838197275174129
"BHLHE40",0.000159912244724981,0.948322525854245,0.717,0.379,1,0.0838197275174129
"MCM5",0.000184008732493265,0.535246908325013,0.913,0.655,1,0.0838197275174129
"CDCA4",0.000198814628773712,1.38903179417496,0.402,0.069,1,0.0838197275174129
"ANXA2",0.000218694582630488,0.169909579196377,1,0.931,1,0.0838197275174129
"GGT1",0.000222447815590301,-0.896036347226823,0.011,0.241,1,0.0838197275174129
"MRPS6",0.000225419498340405,1.24674055358943,0.511,0.138,1,0.0838197275174129
"BLM",0.000231613753909723,1.12619677522818,0.239,0,1,0.0838197275174129
"INSIG1",0.000238959338302928,1.01525854238733,0.652,0.379,1,0.0838197275174129
"CAPG",0.000248927236489266,0.622774689791229,0.88,0.552,1,0.0838197275174129
"DGAT1",0.000255972338737606,1.09988697948796,0.239,0,1,0.0838197275174129
"CDC20",0.000255972338774336,1.38556179345526,0.239,0,1,0.0838197275174129
"FAM174A",0.000260089422479984,1.41314199019557,0.239,0,1,0.0838197275174129
"GUSB",0.000287825781253691,1.10918155527189,0.576,0.207,1,0.0887254256125508
"TRAPPC3",0.000341179859456098,0.665853817460923,0.837,0.483,1,0.0916578629449189
"SCAP",0.000341880463584272,0.988277529456923,0.641,0.345,1,0.0916578629449189
"ARRB1",0.000350338262335189,1.06432386411847,0.228,0,1,0.0916578629449189
"RAB14",0.000367164990852369,1.11878046745496,0.522,0.172,1,0.0916578629449189
"GSKIP",0.00037401151229,1.11666586358263,0.228,0,1,0.0916578629449189
"SMCO4",0.000374905222200656,1.41411404984151,0.261,0.034,1,0.0916578629449189
"STAT2",0.000392824404125567,1.06306410084193,0.565,0.276,1,0.0917889987444508
"MTHFD1L",0.000404594559523642,1.10251357780867,0.489,0.172,1,0.0917889987444508
"CD74",0.000414280389255631,-1.17759216378815,0.033,0.172,1,0.0917889987444508
"GINS2",0.000445574817516489,0.915506564460166,0.663,0.276,1,0.0938015786253506
"DCAF13",0.000459084027127547,1.02630205479609,0.598,0.241,1,0.0938015786253506
"CDC42EP3",0.000463054337360687,0.372953471127834,0.978,0.828,1,0.0938015786253506
"POP7",0.000477208788118228,1.28554398812221,0.457,0.103,1,0.0939836196599511
"COG4",0.000493437844391179,1.11711026896293,0.543,0.207,1,0.0945533599117151
"PPM1K",0.000508418656918717,0.962909644577305,0.598,0.276,1,0.0948602178303606
"EZR",0.000529079754727453,0.529502746464257,0.924,0.655,1,0.0961839861799395
"NARS",0.000559865543309059,0.72447221273201,0.793,0.414,1,0.0964958937012093
"RP11-817I4.2",0.000593381437202741,-0.784670093553194,0,0.138,1,0.0964958937012093
"FZD6",0.000648963526207993,0.841637515867443,0.728,0.31,1,0.0964958937012093
"MT1E",0.000666034314099176,0.475049654058371,0.913,0.655,1,0.0964958937012093
"PAK1",0.000685959187485276,1.17094993911285,0.391,0.103,1,0.0964958937012093
"APBB1",0.000696385682005991,1.22007054435982,0.37,0.069,1,0.0964958937012093
"HDAC5",0.000699727989524353,0.966194187860158,0.587,0.207,1,0.0964958937012093
"MVB12A",0.000701885261638414,0.906024302826801,0.62,0.276,1,0.0964958937012093
"VCL",0.000704936840848288,0.58975611451539,0.87,0.586,1,0.0964958937012093
"WDR78",0.000735981361351075,-0.930025520477489,0.087,0.276,1,0.0964958937012093
"SLC35F5",0.000747892790859553,0.836071502330369,0.663,0.31,1,0.0964958937012093
"PRR15L",0.000761204448851242,-1.17857174946939,0.033,0.241,1,0.0964958937012093
"GSDMD",0.000764172039208096,1.06694982077308,0.522,0.241,1,0.0964958937012093
"FBLN1",0.000768640085027674,0.371374602957708,0.978,0.759,1,0.0964958937012093
"KCNIP2",0.000774734846386063,1.02985393006173,0.207,0,1,0.0964958937012093
"LSM5",0.000778810887477814,0.929781020223894,0.576,0.241,1,0.0964958937012093
"AK4P1",0.000780661762872241,1.02608378728042,0.293,0.034,1,0.0964958937012093
"PLAGL2",0.000783079938271809,1.07589276858804,0.25,0.034,1,0.0964958937012093
"SDC2",0.00080504185892291,0.680562642461846,0.761,0.483,1,0.0964958937012093
"BRIP1",0.000807603014957727,1.05272811860899,0.337,0.103,1,0.0964958937012093
"RP5-901O8.3",0.000816608409319119,-1.18768030063073,0.011,0.172,1,0.0964958937012093
"DIP2C",0.000843402674969574,0.976626409679029,0.5,0.207,1,0.0980282781235128
"PAX6",0.000871735141459919,0.897651093468664,0.228,0.034,1,0.0996871314992069
"GMNN",0.000899471939036511,1.25028212777166,0.391,0.103,1,0.101226286472522
"MRPL20",0.000930267219800326,0.868971316627298,0.641,0.31,1,0.102515335465193
"RNF40",0.000939844401302899,0.934721453171986,0.533,0.207,1,0.102515335465193
"TMPO",0.000969962598794059,0.825529961049647,0.652,0.31,1,0.104083801744779
"TPBG",0.000983584586304686,1.09579633160108,0.391,0.069,1,0.104083801744779
