"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","fdr"
"HPV16-E1",0,0.664930328570186,0.543,0.082,0,0
"HPV16-E7",0,0.442004558340092,0.464,0.125,0,0
"HPV16-E5",0,1.09823827781616,0.832,0.19,0,0
"SPRR2A",2.08564017582088e-96,-0.223813360693709,0.12,0.147,5.21305761946429e-92,9.68779861668799e-94
"GAPDH",7.94700722634652e-95,0.0190305178676349,1,0.995,1.98635445622531e-90,2.95310788531037e-92
"PTN",2.42638110294195e-93,0.247365170314766,0.844,0.641,6.06473956680341e-89,7.51369348211025e-91
"FBL",4.09761809037659e-92,0.334409004240445,0.872,0.75,1.02419964168963e-87,1.08762491598853e-89
"HIST1H4C",2.30053178023136e-90,0.236513689599218,0.703,0.578,5.75017918468829e-86,5.34298505958734e-88
"S100A9",1.76652438966223e-89,-0.0775093658905999,0.705,0.597,4.41542771196075e-85,3.64689146221381e-87
"DST",2.20387750316861e-87,0.378012611924773,0.813,0.522,5.50859181916993e-83,4.09480440088727e-85
"ALDH3A1",2.57191390174818e-87,0.420209538639386,0.71,0.406,6.42849879741958e-83,4.34419639040738e-85
"SPRR1B",5.75218413483977e-86,-0.214771929951185,0.099,0.14,1.4377584245032e-81,8.90629843544358e-84
"TUBA1B",1.95265506848684e-83,0.168952609034854,0.945,0.881,4.88066134368285e-79,2.7907947055758e-81
"FOS",2.72864516003251e-83,0.186256932615756,0.911,0.818,6.82024857750125e-79,3.62130193381457e-81
"PRSS22",7.8234169617087e-82,-0.175727977373628,0.233,0.24,1.95546306957909e-77,9.69060580990317e-80
"IGFBP2",2.89934003920597e-81,0.459688692195547,0.779,0.444,7.24690042799531e-77,3.36685862052793e-79
"KRT6A",4.12918287809375e-81,-0.0921555867374191,0.586,0.522,1.03208926037953e-76,4.51295399264599e-79
"CKS1B",8.17399195462929e-76,0.220449550127554,0.862,0.695,2.04308928905959e-71,8.43737613983401e-74
"IFITM1",9.66327138005809e-75,0.170905836741184,0.76,0.616,2.41533468144552e-70,9.44966222323575e-73
"RHCG",1.8812811679564e-74,-0.118516661484632,0.146,0.138,4.70226227930703e-70,1.7477102050315e-72
"KRT5",3.48693596591e-73,0.207507184130036,0.985,0.905,8.71559644679204e-69,3.08510810698132e-71
"S100A8",2.79799649991864e-71,-0.0456676921388712,0.757,0.648,6.99359225154664e-67,2.36303522584038e-69
"SDCBP2",8.88765410990895e-71,-0.129198870190475,0.282,0.305,2.22146914477174e-66,7.1796788418308e-69
"HMGN2",1.34522391944639e-70,0.0874433494975093,0.941,0.886,3.36238718665625e-66,1.04142751763808e-68
"TK1",1.93129785192487e-70,0.312908276183193,0.705,0.439,4.8272789808862e-66,1.43534056355056e-68
